Mc,totalmass,chi1z,chi2z,ecc,eta,DL,iota,ra,dec,psi,z
1.223389451795829928e+02,3.735578885873461559e+02,-9.754242638039161140e-01,-8.049621826289803384e-01,1.231042882853645125e-02,1.556006353658920816e-01,5.712872141920390277e+04,1.544899037358936855e+00,1.474998200643077961e+00,1.619561431038974542e+00,2.390726134815865045e+00,5.837950788501899524e+00
2.860876914194335541e+01,1.347968143272752002e+02,-8.305580176351732291e-01,-7.852051985095325204e-01,6.043945978122154672e-02,7.551488657032860707e-02,2.171052668005308078e+03,2.910517248734040940e+00,3.862202575158804496e+00,1.048912691779422535e-01,3.129537706522676377e+00,3.894820429503176307e-01
1.522294413117777481e+02,3.517611386737146404e+02,5.158303781641866426e-01,6.866083082917189273e-01,1.071191542210206057e-02,2.476003903819207763e-01,2.289382511779126071e+05,2.549005214468019087e+00,5.109282621005283076e+00,1.256200739882241013e+00,8.618804068434531285e-01,1.990928570784559781e+01
1.281878487387636767e+02,3.194544792914665550e+02,-6.772040525732073712e-01,8.473455175862818489e-01,1.613150304390938983e-01,2.183047214380277046e-01,1.838866007689101971e+05,8.024355969808693034e-01,9.833915643848639698e-01,1.877498469310699081e+00,4.356053323617315343e+00,1.633396965109902865e+01
2.021421201332674755e+01,5.751492375615385555e+01,-7.586540065014943934e-01,3.627049248870812814e-01,3.329947648361780699e-02,1.750358924935145055e-01,1.627313769492505235e+05,7.004810720259257995e-01,3.158680856935696668e-01,5.482792592537222287e-01,5.466006414108497857e+00,1.463653157933826421e+01
1.136507445057433330e+02,4.106814351608165339e+02,-2.505753333771153502e-01,-7.834606519922031609e-01,2.239629615359620129e-02,1.175200651042303396e-01,9.027059623727989674e+04,1.052149206328455877e+00,6.273082283606441045e+00,2.908271037626464217e+00,3.474979044251301108e+00,8.683791950361143819e+00
1.972893600927760005e+01,1.555843320934241092e+02,2.769460947654356353e-01,-9.404532790003877762e-01,2.311355932481111083e-02,3.200587272785308801e-02,1.031976354878846614e+05,1.784145742134565671e+00,5.799106370276444267e+00,9.043175434177976868e-01,4.130943894602236988e+00,9.766801956288237108e+00
4.294790623383129713e+01,2.018783624063451043e+02,9.510081640581973250e-01,-1.038570051488989510e-01,1.184937699971208430e-01,7.581474963871562278e-02,1.563535233544692455e+05,2.379376453774011857e+00,1.291704133388397624e+00,2.128690816003622643e+00,4.928674525286196761e+00,1.412197314964341999e+01
3.171723221146478622e+01,2.236885236252290952e+02,7.663544991300028641e-01,4.357967592085318920e-01,1.430432785523034211e-01,3.855546670036708728e-02,1.672304551135149450e+04,1.247950608484265755e+00,6.168588135035008024e-01,1.311202592093424268e+00,3.098013481153473414e+00,2.081876023896762629e+00
1.413654679419954441e+01,3.762383043331983146e+01,-1.611121356316046471e-01,-9.305641327594300627e-01,1.902084916439211737e-02,1.956443052585755127e-01,1.282024430421335855e+05,7.675264416730722683e-01,4.988952007460613736e+00,2.141693187438921786e+00,5.718322805769551209e+00,1.183220486605945254e+01
3.436465449210100331e+01,8.312144923760411075e+01,-7.002527953127462013e-01,-5.531981795500551247e-02,1.905686991290977961e-02,2.294377060997105089e-01,4.766643414613320783e+04,6.294636625834605370e-01,3.033766485434361559e+00,1.909401262244971198e+00,7.580293504596641481e-03,4.998986051180893675e+00
3.545457358558358152e+01,2.174877105667839032e+02,7.312780900196158562e-01,-8.899830293771645584e-01,3.505679353299157031e-02,4.864772941019732816e-02,9.818569362428042223e+04,1.705281000327989904e+00,5.573837945174672903e+00,2.580254534551947199e+00,6.935259824137837148e-01,9.348317756612159357e+00
7.681901085499225701e+01,2.169132648193715909e+02,-5.808422537315653944e-01,-7.144112558899358145e-01,2.170609462780640625e-02,1.772709883787940144e-01,1.557238685342141835e+05,2.523946540283059203e+00,5.573768496205697254e+00,5.375189847009277377e-01,1.855517673177109694e+00,1.407109639754951758e+01
7.715626492861321140e+01,2.116777212817756890e+02,-6.606386553037151277e-01,-4.306336249885336365e-01,1.601218464046550716e-01,1.859916326072568737e-01,5.269903858675171796e+04,1.686390228013387560e+00,2.272943323516580350e+00,1.995454712010977349e+00,9.445861744183885189e-02,5.447126647911573194e+00
4.219515788862995009e+01,2.515380422890451086e+02,1.908159458572289413e-01,6.097675394965034190e-01,1.240807034681433996e-01,5.102287187388053480e-02,2.244078705571375613e+05,1.416890841118898070e+00,9.197515912261469140e-01,1.854577497368933958e+00,6.311710759237434409e-01,1.955183493352440038e+01
1.421911189570772081e+02,3.338230285037942622e+02,-8.545338629759724469e-02,-5.787480501083743789e-01,1.583455009082184173e-01,2.411350260677640467e-01,1.508219656758328201e+05,9.201731888610661381e-01,3.844540799487178084e+00,6.015350530293014364e-01,3.955468360203558742e+00,1.367452731989330061e+01
4.631265956105727355e+01,2.960399169703698590e+02,-1.245434018392895803e-01,9.509654832388401147e-01,1.198753347664327507e-01,4.542020392751920654e-02,1.787478825620970747e+05,2.589373529579789945e+00,5.941480638504154754e+00,2.437543207511698173e-01,6.249368198236568084e+00,1.592288979447519637e+01
2.493639198946808477e+01,6.371149597560035716e+01,7.176610074321181365e-01,-6.660094830502407692e-01,1.302522650373840428e-02,2.094239545036094829e-01,1.615757171894889034e+05,9.471582170246889421e-01,2.744424324196259590e-02,1.473766285661642916e+00,3.937894168517788174e+00,1.454339744746204310e+01
2.299918789299168864e+01,5.566337562396461891e+01,-1.666707400332014810e-01,-1.545085044016000220e-01,5.940779059459890682e-02,2.292124846030889895e-01,2.036493556399031659e+05,5.035288152698814690e-01,6.168889524552450432e+00,1.691921164337358618e+00,4.276342912066531277e+00,1.790829781796564291e+01
1.065391191905807844e+01,3.745087797331877510e+01,-5.601907849051992461e-01,4.056426054466961695e-01,1.027864523392752472e-01,1.230491158423848430e-01,1.491763764317045279e+05,1.269935902743695832e+00,3.529894887900686395e-01,5.285045151352469883e-01,5.981848486246701402e-01,1.354119806523814695e+01
1.901801952729199741e+01,6.274976942199130292e+01,8.564332111308072815e-01,1.484279335557441293e-01,1.945346284103433576e-01,1.367482963447020083e-01,8.201587744643648330e+04,9.893545408958710485e-01,6.260263064813937461e+00,2.083852177304110764e+00,6.188475709214525722e+00,7.985456288801493940e+00
1.075596589785796482e+02,2.662113876483830381e+02,5.515922256543259738e-01,-8.874507229010608622e-02,1.733177550970751296e-02,2.208197831054446447e-01,1.031064503036278620e+05,6.548675019582329559e-01,4.860270158661427864e+00,2.119813936167062707e+00,4.714376597195279572e+00,9.759203189081063101e+00
6.166820920177644183e+01,3.834088541616839620e+02,9.541954326399253450e-01,-8.193890938019228187e-01,1.616392231055832282e-02,4.756987371460879438e-02,1.505801753322157892e+05,1.243794078244494061e+00,2.891161700174781579e+00,1.905123140714442886e+00,6.207961293052033369e+00,1.365494332016575285e+01
2.595063879221338965e+01,5.994174514035729828e+01,8.696296983446245576e-01,-3.734756286937245262e-01,1.895331083799862634e-02,2.477599567730698893e-01,2.141251579283779138e+05,2.315086024603567605e+00,8.008012814185685446e-01,1.821422942710836601e+00,3.281115022562401506e+00,1.873891369908696092e+01
1.166351596689848691e+02,4.406330961945607214e+02,1.918578557316905631e-01,6.792173865003454658e-01,1.646461527836880767e-01,1.091240870851455519e-01,2.276045050181795377e+05,2.149889030570110826e+00,5.152452153119992495e+00,2.164374423104231226e+00,3.881234986000817955e+00,1.980409568183092972e+01
1.464582480725111679e+01,3.364983432219334247e+01,5.580667445917151248e-01,4.593954468849643646e-01,2.375112087996750221e-02,2.499682448942746604e-01,2.147952199168578081e+05,2.073655223071143805e+00,2.251743715146755864e+00,1.794183252211265289e+00,3.481817841418800352e+00,1.879195696202769383e+01
1.256322398282063268e+01,5.647621693930535969e+01,-6.464652395681356190e-01,-5.363368848551637313e-01,1.839257130062594281e-01,8.166936422791307160e-02,1.109917367966025813e+04,2.780392566445518687e-01,6.082826033359005624e-01,1.574866050822796515e+00,5.873743256052218475e-01,1.489770397777507860e+00
4.795413928446436813e+01,3.568903756075354181e+02,-2.811122993181741636e-01,-1.369580664159837369e-01,1.785341123416833431e-01,3.524943065579681789e-02,1.462536326502998418e+05,1.012924649347459072e+00,5.621602024442837298e+00,5.995031821148729678e-01,4.866423631664198446e+00,1.330413618395676423e+01
1.507602417682010199e+01,8.248313879129469228e+01,9.702000972963076286e-02,7.406051836184457393e-02,1.721948481389017904e-01,5.886666201516093516e-02,2.655370725544661400e+04,2.191548520438167280e+00,9.733969211260939947e-01,1.184505109423679592e+00,2.771623859953882718e+00,3.051596965915090998e+00
1.006928464224295965e+02,2.458959115124330879e+02,-2.467037830006546528e-01,-4.640352866760837358e-01,3.386778659149044385e-02,2.258112197531099985e-01,1.427586794149901834e+05,1.894865406042712808e+00,5.432470214128709785e+00,1.187364846140987362e+00,6.242459252566167294e+00,1.302022317192373535e+01
2.077291278641592598e+01,6.449841776246459801e+01,7.206157693260408781e-01,-3.725499475512483727e-03,2.476811456040458118e-02,1.513261192465616967e-01,1.108646649162393442e+05,2.413760791826950136e+00,4.752662319677191327e+00,2.216609482885661730e+00,3.750871941109471308e+00,1.040385170574077378e+01
7.052032876528404870e+01,2.233189248307210732e+02,-6.382281165179184423e-01,4.982567842905123445e-01,4.511403454361815474e-02,1.464360481305754247e-01,1.516297561582663329e+05,2.081104105270441096e+00,4.719174800341856546e+00,1.607028621317201367e+00,5.827754060779730239e+00,1.373993912544503537e+01
8.050083276539433541e+01,1.961185648054539854e+02,8.649955284033805647e-01,-2.765534934769793285e-01,1.213778876162375647e-01,2.267093566115750969e-01,9.196202304295836075e+04,2.015649937487689503e+00,9.585399341039642362e-03,1.816887382976388521e+00,8.949566976870507728e-01,8.826194326310893956e+00
7.529957968015146719e+00,2.014946620211087236e+01,7.305340142005876114e-01,7.224778337273551898e-01,2.071858810499534187e-02,1.938868453227279021e-01,9.531596851529300329e+04,2.449348071414464201e+00,1.281974468403177747e+00,2.131006602527192761e+00,9.128178955611071510e-01,9.107919883445443787e+00
1.580667345661783507e+01,6.574188605650468276e+01,8.810217586902349129e-01,-4.754803729817597135e-01,1.001858502834706427e-02,9.296736823972667763e-02,1.814762992952344357e+05,1.239456268329882427e+00,2.836182673998192127e-01,2.014442499916286877e+00,5.181427146333759559e+00,1.614124754980718279e+01
1.336619444848786031e+02,3.141160848290986678e+02,-1.942957069323179020e-01,5.716544974319199834e-01,7.147882293481962190e-02,2.407295100208831362e-01,1.115968164245213411e+05,1.929189930212384940e+00,1.872304670523241565e+00,2.384330591226408114e+00,3.508337942072356608e+00,1.046449982405941270e+01
4.700913279255777866e+01,3.421678703723366652e+02,2.817780234927407257e-01,-5.312607432680462871e-01,1.640852493611968943e-02,3.657954967265797386e-02,6.236657413662200997e+04,7.696783919156114928e-01,2.166773767776336790e+00,1.783051748817492177e+00,2.996298968596140089e+00,6.296224705992711890e+00
1.528521324463869746e+01,3.556271251297272329e+01,7.013784590532490260e-01,9.427399312650632801e-01,2.321759364777111270e-02,2.447903941788241722e-01,1.934293679181202315e+05,1.262042696807236464e+00,4.513697100230856130e+00,2.909758385071356646e+00,4.011654881701506525e+00,1.709542295115694088e+01
4.046667092645091657e+01,3.650035319500792070e+02,-9.555502309686105811e-01,3.477609099793399494e-01,7.523443220144132582e-02,2.558589920692005623e-02,7.198874685104070522e+04,1.941387238848314656e+00,2.273838108590767071e+00,1.492967081845337107e+00,5.604201377451007104e+00,7.128736229383192402e+00
5.857209525019130325e+01,3.465232141817083402e+02,-8.780666113253514649e-01,3.931982321698868077e-02,4.440073324747601663e-02,5.167304365305201708e-02,6.592879366832486994e+04,2.269871254417848760e+00,4.803577514373380097e+00,2.237779321267932442e+00,5.961794969485664453e+00,6.605749396006448393e+00
1.737467069769186523e+01,1.065385949307837308e+02,-9.669383182338014970e-01,-6.256800865444744897e-02,2.635186543668549541e-02,4.867986466338625196e-02,2.105717324740087788e+05,1.367807327605700785e+00,2.194641494934522541e+00,1.591660842289557065e+00,5.896683779342023257e+00,1.845744980938373558e+01
3.388181524467186989e+01,1.643311651152784520e+02,-1.444199365495408838e-01,-5.005239074937959387e-01,4.129185204987536467e-02,7.195780257614557696e-02,2.114035770428143151e+05,2.884202161026712563e+00,2.400408317008152270e+00,1.124074574913906943e+00,3.218235996031467483e+00,1.852336516306537817e+01
1.168602735786940059e+02,2.837425625330822641e+02,2.241605973009419550e-02,6.098164152346157163e-01,1.449379375209570997e-01,2.279838167946268424e-01,2.040884141795321484e+05,2.802839004619550600e+00,2.903922068119930255e+00,1.968422093128614048e+00,3.708548611979468390e+00,1.794316193431150097e+01
9.218583926624610569e+01,2.568014005639991524e+02,8.483395256601569123e-01,-2.927949328839796195e-02,5.373098121616575601e-02,1.813195822597362117e-01,1.075779452871643589e+05,7.401981391620376938e-01,6.217350219216127627e+00,2.241063993690525447e+00,3.954151608991790745e+00,1.013120307671721676e+01
3.242666764365088028e+01,2.337655460779083398e+02,-5.077614689872281817e-01,3.956630270890066914e-01,1.534834156864567090e-01,3.717089600852437059e-02,1.198630725654906273e+05,1.559147743026928046e+00,5.112058563003859746e+00,1.472848716018963611e+00,5.204651248730382207e+00,1.114714700617656540e+01
5.685057352169653200e+01,2.522094828954049603e+02,5.689652050175466602e-01,-8.943770776664471400e-01,1.180063533740816767e-02,8.348768093386781108e-02,1.709250952372684551e+05,2.099877309296477979e+00,4.096691937928112814e+00,1.275326170674748516e+00,2.292153487253012489e+00,1.529560516037532913e+01
2.956750709072110794e+01,7.149830221196236835e+01,8.572862123714639626e-01,-7.779982014977545601e-01,3.392841683741188580e-02,2.295434830911671775e-01,1.282939515411289613e+05,1.044810818045911027e+00,1.341802332873898607e+00,2.008495695643877976e+00,5.624496399857345175e+00,1.183970315962222131e+01
2.577728322315507370e+01,7.188669244145272330e+01,-6.400798508891487604e-01,1.604505938697791123e-01,7.787047226161261659e-02,1.809871476867261075e-01,1.529248599909424083e+05,8.856385795822657725e-01,3.159846187720094512e+00,3.021401255674500241e+00,6.187144435597107694e+00,1.384476127377982024e+01
3.518579684570445210e+01,1.029133734675983334e+02,5.555782143498149139e-01,1.463296633647643841e-01,1.184257907715038916e-02,1.671703662611836450e-01,1.180675930598068226e+05,1.772966744650036119e+00,5.390730701516664780e+00,2.090297655657786802e+00,3.792437872020814726e+00,1.099918897243864002e+01
4.778095158730351955e+01,1.859511317375815906e+02,1.674531778706371821e-01,9.330710917637212720e-01,1.334219209069105634e-02,1.038548098052710228e-01,1.178494472728053515e+05,1.163931779339745898e+00,4.352890431221461576e+00,1.475264425121229017e+00,5.609590380281947314e-02,1.098120080802933884e+01
1.597719970258533522e+02,4.799327821517984489e+02,1.365691954648129425e-02,-6.703329635945458609e-01,4.309964205958623229e-02,1.599068542375043922e-01,2.148350704343038378e+05,1.315071929729310085e+00,3.432352333012597789e+00,1.949470220494376571e+00,5.257740450946950972e+00,1.879511128303276735e+01
9.662291471819320066e+01,3.457377615889574258e+02,2.560372274764823874e-01,4.894889763567784602e-01,1.505509573389960699e-02,1.194599138466631572e-01,2.010869527132353687e+04,1.838870934788386702e+00,8.334989106683216020e-01,7.055128322039354583e-01,5.574866090492882620e+00,2.423009887819882469e+00
4.959128150117485490e+01,1.342462078640154459e+02,9.608773260903331614e-01,-8.000381253110366853e-01,5.562198111958255309e-02,1.901832102813117986e-01,1.266402480956952350e+05,1.523449680014064445e+00,4.806521912134326335e+00,2.354315724700398516e+00,3.920590899496721793e+00,1.170413550937425207e+01
1.451793540440794743e+02,3.525052903452785813e+02,2.904718142437670014e-01,1.149804715615956319e-01,1.673978248721932210e-02,2.279810244662971164e-01,3.548018332553596701e+04,6.147023592552602889e-01,2.955726536778671587e+00,2.624056731969119927e+00,5.390458287493888889e+00,3.891158152433980000e+00
2.138315432474065005e+02,4.982677879441563391e+02,-3.722807649859599666e-01,9.138462274282754816e-01,1.762035514302960904e-01,2.441639811344926414e-01,1.149936054544561921e+05,1.969646400249069895e+00,4.446774339835931400e+00,1.020938520214774048e+00,4.758565509280063388e+00,1.074547185212185241e+01
6.317510218612154205e+01,1.460737525023069452e+02,3.627084361849108873e-02,7.703600883676264832e-01,1.649748367895180132e-02,2.473372977825541719e-01,1.641501189048570814e+05,2.639452990214514738e+00,2.347432391520481776e+00,1.139672171621221919e+00,1.856942837571429417e+00,1.475080636516148758e+01
2.505257265885322582e+01,5.895337278505182610e+01,-1.779231248257659992e-01,-7.402284799376122049e-01,1.068372116756275830e-01,2.401998819536212970e-01,2.152844374693493010e+05,1.653035960187111630e+00,4.391049574093036867e+00,1.255537820652115277e+00,3.839208715038183950e+00,1.883067796506194469e+01
4.190742498079170986e+01,3.987807407044402908e+02,7.653830929056344434e-01,2.304363792643242537e-01,5.889542180263535737e-02,2.340245044273514541e-02,1.093943359731472301e+05,1.155724488352120716e+00,2.981465949518977254e+00,1.005177739210349586e+00,5.568602852817823579e-02,1.028196106252666908e+01
2.162147857450724189e+02,4.979418124850418508e+02,-7.985980331373510044e-01,9.683666209864987273e-01,2.127565306923658722e-02,2.489877552192635568e-01,7.365407093528284167e+04,1.717624959305908972e+00,2.219642603471299047e+00,1.392244849061629486e+00,1.836508136917461176e+00,7.271730172517325563e+00
6.374384883580515293e+01,2.530336779551571453e+02,2.251566433970377812e-01,-3.327311260583554198e-01,8.425411759482756557e-02,1.004846962057513865e-01,2.070613122330516344e+05,8.143602521478964240e-01,4.681260745026344594e+00,1.063603068645723182e+00,3.833797495195796490e+00,1.817910868445213168e+01
2.544671889124442288e+01,1.381421191480291384e+02,-6.943381803930255280e-01,1.591765441456240993e-01,1.687355478965527067e-02,5.963613150608762514e-02,9.773513746908394387e+04,8.343279161185392923e-01,2.072887026143219291e+00,1.761221543183103755e+00,4.807198908445006857e+00,9.310613271332325525e+00
6.303741505137755752e+01,1.451520650353676558e+02,-7.176916447291268319e-01,8.461587462979387464e-01,2.757900193883549428e-02,2.490531057624283950e-01,3.774180803200315859e+04,1.367338200262501635e+00,5.981192078986313554e+00,2.804983333938830370e+00,5.223642496549402381e+00,4.099613884277708564e+00
6.850908107332484676e+00,1.707607832700364625e+01,-2.220570622133856142e-01,-5.556155970196187122e-01,1.865251068563367753e-01,2.182394910094838936e-01,1.796477406524170365e+05,1.864365811954987295e+00,4.497974543214162679e+00,1.801560951971189040e+00,1.976926636780059976e+00,1.599493001371959089e+01
2.589145696101385141e+01,2.205520240789256832e+02,-7.294378630654152484e-01,-4.635575799379442197e-01,1.336498176538520599e-01,2.814550658381139228e-02,2.008149873799896159e+05,1.695840192112821221e+00,6.907958351907250716e-01,1.428177718836074028e+00,2.350509238976784765e+00,1.768311830986935362e+01
3.849695893426959969e+01,1.380348849960427913e+02,-1.711920101924900850e-01,5.806666342919382107e-01,5.693222410357597074e-02,1.190499662782226048e-01,9.074781989483450889e+04,1.936721843448631963e+00,4.532736230790765042e+00,2.380168377513895983e+00,4.081609087764597632e+00,8.723992369164335514e+00
1.820342711371600330e+01,9.554768407255991747e+01,-1.145471327779352677e-01,-3.098618656778568958e-01,3.629068914796344802e-02,6.307951185797891491e-02,1.691864689804516383e+05,1.581942605745500163e+00,4.412843789775727998e+00,2.640903549214046020e+00,8.838366669720633118e-01,1.515593597150049199e+01
1.993704105875044519e+01,7.051438415653611003e+01,9.177762431455871450e-01,3.538696677607253704e-01,1.193214611296829347e-01,1.217974819959825039e-01,5.088727538904760149e+04,7.026844708992188160e-01,1.028996717743784428e+00,1.749136394212196688e+00,6.184190603957114618e+00,5.286328169352505491e+00
8.559321099732171945e+01,2.172822521634670352e+02,1.514769931907165024e-01,8.836949701730349993e-01,1.550747984291482931e-02,2.116858236852165454e-01,1.701818076769760810e+05,1.278944491090711733e+00,5.323518624266673882e+00,8.724904659261688566e-01,5.778428502535912337e+00,1.523590617907098199e+01
1.821038199750666138e+02,4.232776957566983356e+02,-3.742817552031401096e-01,-7.216083027548609863e-01,1.021915675794171120e-02,2.451824908983807338e-01,9.468171225928464264e+04,1.464048060666417017e+00,3.233421407594184949e+00,2.652499754446247859e+00,1.280016938648571356e+00,9.054707761878340477e+00
8.723542305599620406e+00,2.628162927087633349e+01,-6.134443924980312879e-01,-5.235158108471493765e-01,4.932296743827607050e-02,1.591234957715615961e-01,4.249338266454605218e+03,1.151603899009822296e+00,9.951880052114978614e-01,1.959877526179796492e+00,2.193954000122044334e+00,6.822245206310983967e-01
1.164069533026725622e+01,3.493014214214880298e+01,-5.677607612533406289e-01,-2.330102725420126752e-01,1.914423318460036980e-02,1.601883579552589032e-01,1.233143692641727976e+05,1.447629533597177165e+00,4.742481759240164685e+00,1.758952985421535109e+00,3.097751956414863894e+00,1.143108339560622966e+01
2.033205788086153021e+01,4.814229782952811831e+01,-9.469161849841075673e-01,2.455661556917996258e-01,1.183892055310255785e-02,2.377337659761030453e-01,3.640903735324079753e+04,7.261560524826481400e-01,4.018745964249994529e+00,1.757105601363333047e+00,4.934272001613547509e+00,3.976951398470291998e+00
6.843854977408685158e+01,1.616208086566818167e+02,1.162792460674504369e-01,-8.440908887729128285e-01,9.512410538430136897e-02,2.387843564454047440e-01,2.034192593974682095e+05,2.096869230640577619e+00,3.689450717547969827e+00,1.348230632246781857e+00,5.731807296833097531e+00,1.789002482371386549e+01
2.380942737822483082e+02,5.761996943492847549e+02,-8.248219894186862300e-01,-5.953358763644172047e-01,7.222681471955622046e-02,2.292414843178900152e-01,1.826912687674462213e+05,1.108435544270005124e+00,1.643889873638645360e+00,2.174936415258550859e+00,3.248803209076190690e+00,1.623841416965723994e+01
5.919977624235842484e+01,2.168138739474829322e+02,2.950734923266302712e-01,4.309525269866367747e-01,6.324590820324693663e-02,1.149180707727326944e-01,1.666323200187264883e+05,8.842528943259844176e-01,3.405169402607588047e+00,2.148507866207364003e+00,1.902911075269400509e+00,1.495057976094262031e+01
8.774068670848572893e+00,2.590613170067571502e+01,-8.064797587090527520e-01,-6.537082359372763385e-01,1.697083375949837505e-02,1.645624584460015083e-01,2.252134853686460701e+04,2.270159352522535645e+00,3.973416410763611628e-01,2.402585623644891033e+00,1.017654079842295500e+00,2.661095600678198281e+00
6.734172366388565756e+00,1.663412658331365535e+01,1.449574666997903716e-01,2.707893703179033995e-01,7.325655637581868218e-02,2.215509978323522422e-01,1.466905711821278383e+05,1.391219595288220923e+00,1.831374185294726953e+00,1.891264486340217488e+00,2.677904954211824951e+00,1.333959699684400491e+01
1.345003396342789870e+02,3.090998845817498477e+02,-4.608667392587185718e-01,3.664595266639403270e-01,1.207664797891347813e-01,2.498662296082938827e-01,9.723816982844825543e+04,2.430509080950312040e+00,3.714741577552786111e+00,2.799287734200260225e+00,3.550464594051335188e-01,9.269008287277042513e+00
3.150464282259896365e+01,3.465128233808287632e+02,-8.895154109550070798e-01,7.092171711593662220e-01,1.263776332291894344e-01,1.838338214345782221e-02,1.211728612431460933e+05,1.926503397161160480e+00,8.254889865362211587e-01,1.167619329250857430e+00,5.718294546838285974e+00,1.125497463862952863e+01
6.390244955792661585e+01,1.515704125787740395e+02,2.027533384601327704e-01,1.448241804536600785e-01,1.599261949356491630e-01,2.370491790951446687e-01,1.877834994144498487e+05,1.264617601606295105e+00,3.394136964727661354e+00,1.840265792895770636e+00,2.835326784471407624e+00,1.664521456769411145e+01
1.101142733734825008e+01,2.584774734138285623e+01,9.489941998311774984e-01,5.041238726112391433e-01,5.815831686166798853e-02,2.411949417695365139e-01,6.333554486406025717e+03,2.648625516479623521e+00,6.148897698777273213e+00,7.944141412175886874e-01,5.218837633441263613e+00,9.449099459806076240e-01
2.851663880895038261e+01,2.239774562207699660e+02,-1.353100228904667857e-01,8.905490742840076468e-01,2.753923868876251638e-02,3.222231297415124179e-02,1.487003870109541458e+05,2.012489041837167481e+00,1.793119143526413328e+00,2.290860123694135608e-01,3.293767081880357162e-01,1.350261324372962868e+01
1.439939892731852389e+01,3.954480342299124374e+01,8.485685140231535861e-02,-1.567787735248828973e-01,1.276174840634560492e-01,1.856770544493454023e-01,1.355549918833030642e+04,2.284207507637217860e-01,6.214496266232395705e+00,1.530816251565286334e+00,5.069078424152224649e-01,1.753186437312883594e+00
